Hugo_Symbol,T_Paired,P_Paired
MRI1,-4.38121386498561,6.211193127856649e-05
ARAP1,10.963554026793924,8.699467229663251e-15
DZIP1,-2.062196583485796,0.04451209545457711
VDAC3,-5.784836785825924,5.0123576158189e-07
RBM42,-4.090428286423254,0.0001599175087298175
MROH7-TTC4,2.7062417595539574,0.009337968086166224
ATP8B2,4.068125181976565,0.00017176914944426648
MMADHC,-5.563841976275583,1.091408534344491e-06
SIK3,4.323364751924275,7.511359127000687e-05
GOLIM4,-3.872427467691745,0.0003194199522817927
GPR149,-2.4645162154237505,0.017274043072858413
FLJ20306,-3.961631439272605,0.00024112525564400438
ZAR1L,-3.738126295193773,0.0004852060316592732
TSHZ2,-4.977266745952461,8.363120897994943e-06
ADAM11,-4.115448703415978,0.00014756504800253757
SNX18,9.147717043068228,3.555273608992354e-12
KIF17,16.034184733429214,3.95569073250965e-21
IL7,6.597638241136713,2.787832620570607e-08
RBPMS2,5.171190576142484,4.289642485984772e-06
AGTR2,6.645897686563803,2.346819477011472e-08
PLA2G4D,-3.1726199136481728,0.0026082743993067112
MTDH,-4.573662135029796,3.2798607977982405e-05
MT-CYB,7.130596586123374,4.164524442709295e-09
TRIP6,-4.770523260752361,1.6913083941205077e-05
CYSLTR1,12.099437721366566,2.4937980001082574e-16
SH3BGRL,15.470087808836416,1.722206617470178e-20
TAF15,-4.439205920329931,5.1290654348624606e-05
NMU,-2.887197992811023,0.005768878176304488
AC079354.1,3.665547110155402,0.0006065211428319271
NPIPA1,2.7097784192904926,0.009252049435356048
DNAJA3,-5.0910816815265125,5.656234127123097e-06
TIAF1,2.687293179360208,0.009810923616617437
KAT5,9.80515324163599,3.852743753309367e-13
CPNE9,7.540357963487846,9.69851467045676e-10
CHORDC1,-4.979109263291285,8.310491821137407e-06
IL26,2.430787972006407,0.01877171564499961
ELP3,2.100954464665223,0.04081230518809019
RIOK1,-9.429438472937163,1.3637764461170303e-12
HIBCH,-3.1100535312596573,0.00311462371050496
OGFOD1,-4.059809127454745,0.00017640254413582923
CSNK1G2,-5.268338910777935,3.0633043914217986e-06
GNA14,16.921148938587915,4.201105102993897e-22
SYT14,-6.602084921062489,2.743949499373241e-08
CCDC68,14.981800349002047,6.335635862746489e-20
ZNF564,5.174633752198685,4.2388581969694146e-06
ANKRD6,3.846499646225406,0.00034644388041349107
NDUFS3,-3.170273290320115,0.0026257764350143095
EFCAB4B,-3.4562133295777833,0.0011411878384863295
STRN,-5.461999046614665,1.5595002825328892e-06
SCARF2,4.424635309880249,5.382232608249952e-05
C5orf22,-8.199374245653269,9.484795960985025e-11
FBXO45,-8.508194481986918,3.226005956613873e-11
TOP2B,2.4164409012724413,0.019443543652200142
ZNF16,-7.534149553567042,9.914501811212736e-10
CYP2F1,2.2182568596774934,0.031202959998434296
AMIGO1,11.545686600805565,1.3800279983038578e-15
SOX11,-3.0455870140590333,0.003732010942967787
