Hugo_Symbol,T_Independent,P_Independent
ANKRD18B,-5.715930923968548,1.1781271290500281e-07
GKN2,19.688198278093815,7.841384839950624e-36
FAM89B,-2.4899967631164945,0.014457379222742974
RABL2B,4.134006494280929,7.524683244843517e-05
PFN4,-3.682838410146207,0.00037772749599469503
POTEE,-2.7090033759518577,0.007965941912155513
HDAC2,-8.486748578918775,2.296007179465245e-13
TMEM182,-9.541065231206469,1.2000143946928583e-15
ARNT,5.954577614293523,4.0748117119321e-08
OR5P2,2.961717068175921,0.003838434475715022
CHDH,7.483448783433002,3.1540347774423035e-11
PRRG4,-4.713221818987403,8.065787906831873e-06
UVRAG,4.204577379123183,5.785971910737707e-05
C16orf96,7.101443442168172,1.981553544234385e-10
SMIM8,-2.6693192375283505,0.008897191047052527
MFAP5,-1.9895308178936557,0.049429596383604286
DYNC2H1,5.697297247722299,1.2789219679449836e-07
C17orf53,-14.5098814644731,3.804130382311541e-26
IST1,4.718770753835366,7.888693129993164e-06
SLC39A10,-4.051597308667708,0.00010191563804424152
ZNF675,-2.3618133903622067,0.020163245515476564
MAPK1,-2.4272303868512637,0.017040681751765336
RIMBP2,-2.386145115967909,0.01894702821649422
BUB1B,-12.266426454758536,1.63460248550584e-21
GABRR1,-5.316016333708341,6.673576346351639e-07
LCAT,8.574497319729595,1.4858138729493234e-13
AKR1C3,-3.926509643919506,0.000160349444425825
DAPK3,2.9207640414819185,0.004333620483204689
ZP2,3.040380059220701,0.003030625351634569
SETDB1,-3.5252532492257362,0.0006450141560499516
GRIA2,-2.6013379072468252,0.010724293763999427
AEBP2,-6.375215695582832,6.008671100719815e-09
ABTB2,-3.0609349944834476,0.002847181554917282
RP11-77K12.7,2.8664212258748076,0.0050815842070878305
IL20RB,-5.851454956440484,6.461746660530398e-08
UBQLN4,-8.667077026644497,9.382170291865751e-14
LHCGR,3.960356999763729,0.00014196755872742086
ZFYVE9,5.974713938159519,3.7225011603162134e-08
AGPAT4,4.509252399509097,1.8054901568186176e-05
PSME1,5.441099459094909,3.9045414995140633e-07
SCAMP1,-2.618864020262278,0.010223378527578281
TRAM2,-2.7782240692639775,0.006551188539081438
PPP2R1B,-2.8009914681108743,0.006138589728915379
ATG5,-3.2000626729936212,0.0018519370194003107
H2AFV,-7.961351206626194,3.067005534350091e-12
KARS,-6.530733936657338,2.924238507806725e-09
ANKRD2,-3.3534385142920593,0.0011357089466302
NFIB,4.795988145713401,5.783396179406532e-06
SGCZ,-3.121853493590743,0.002362220965863976
SRC,-4.115579446846982,8.055455100463217e-05
EIF4EBP2,8.386607261531289,3.770253840236632e-13
EPHA7,-3.071828207805249,0.002754190135514431
BANK1,6.469330746953889,3.888896835676528e-09
RNASEL,4.7997665681912896,5.6958021150833e-06
FAM84A,-7.254799627258203,9.504318665240233e-11
CEP128,-7.130556660763943,1.7241555074672072e-10
RPP21,-7.46110120533824,3.514402109578038e-11
CCDC104,3.1145633088822797,0.0024159187353913437
SLC4A7,-2.7281478144653875,0.007549168808274724
SFMBT2,4.618027463015187,1.1777759313008932e-05
IGSF1,-3.753028794601179,0.0002961802507171892
FAM189B,-12.344692259721933,1.1169216624726518e-21
SLC36A1,-5.05526107002054,1.9993654795162654e-06
CHI3L2,6.317733939410405,7.828501254438798e-09
TMEM8A,2.2451416966110944,0.02700644883696011
DPYSL2,22.955145361595726,3.277162225523821e-41
FNDC1,-4.380154774647676,2.974787564040282e-05
LGALS2,4.704717635811063,8.344710147119928e-06
ZNF354A,-2.1038918846468255,0.03794781606747114
FAM179B,3.903471571972126,0.00017413878909343237
SPAG4,-3.559582041183999,0.0005747924016941686
C3orf58,-3.5651544982474963,0.000564098923926826
ABT1,-2.618383990341791,0.010236811721013216
TNC,-5.500197902067896,3.0246930656138877e-07
ARNTL,2.361128636913799,0.02019845152697795
KCTD15,-4.7042798771627155,8.359318339724762e-06
CARD11,-3.022019453008427,0.0032036800161646378
POGLUT1,-4.840648841159223,4.826780934017456e-06
ETS2,5.516939803303005,2.812968588775198e-07
SIVA1,-3.121466680870719,0.002365042033738053
C8orf4,9.845159223558603,2.624081838924932e-16
C3orf27,3.567807027712258,0.0005590750899513845
CXADR,-4.558401646791178,1.4896248137176728e-05
MIB1,-4.97738344273979,2.759355678250215e-06
ELOVL6,-6.240008576766721,1.117933820150966e-08
ADAMTS10,4.85754388570409,4.506593418588335e-06
RHOF,2.5939099017792238,0.010943199972163883
MOSPD2,6.620063599902671,1.928226600413399e-09
AMN1,-2.6111766158682204,0.010440430319446943
LCE2B,-2.477506584587027,0.014941601561362603
KRTAP16-1,-1.9939869201077263,0.048932197251688334
SELENBP1,19.18284155511338,5.961534529742812e-35
RSPH9,4.970763484951089,2.835621727261106e-06
PIGU,-8.555537134354982,1.632391099580206e-13
PRELID1,-2.2897973000033436,0.02417766156584258
ZNF649,5.0291194331122675,2.228360680643553e-06
NOSTRIN,18.458008482714888,1.1556690956375841e-33
XKR8,5.73656835867754,1.0755875591076633e-07
RCC1,-12.25433397456913,1.7337516399174607e-21
CERK,-2.0125068112110287,0.046910428521706925
MANF,-3.9718162715730156,0.0001362141930143103
IFNAR1,3.389996594630612,0.001008490044748319
EMC4,-2.5763166125637276,0.011477847802912578
ABCA6,13.59850019796671,2.7158470319388326e-24
RAB7L1,2.521679062937121,0.013291545293358754
CDKN1C,2.9962734013217127,0.0034617755597230546
C15orf54,2.5752712111464655,0.011510345634144794
C19orf59,12.520017056988445,4.768812837822525e-22
AKAP11,8.157823640709557,1.167035238368196e-12
NMRK1,2.789439653923233,0.006344870675235299
MRPS5,-4.036592283620426,0.00010765987877432626
CTD-2535L24.2,4.34570682668056,3.393876343179855e-05
CAMP,3.446647602543642,0.0008375010657485758
SMARCD2,-6.6207909862327154,1.92168387860129e-09
SMARCAL1,-2.514005271663068,0.013565904103813396
SLC39A12,4.752141182018304,6.900625252817137e-06
CD1E,6.883695706666741,5.58044053545994e-10
ACR,8.599506306880128,1.312360084563383e-13
SYCE3,-3.511274515845333,0.000675867591798793
C12orf49,14.231087439056825,1.3894814801495513e-25
PLEKHA5,-4.870272470176725,4.279107554945341e-06
PRMT8,6.292300751155607,8.798161739415613e-09
